1, 1, 4.0, 4.0, 343, 37, 16, 19
2, 1, 5.0, 4.0, 422, 54, 20, 17
3, 1, 4.0, 3.0, 283, 32, 14, 17
4, 1, 5.0, 5.0, 530, 92, 27, 12
5, 1, 4.0, 4.0, 470, 58, 30, 10
6, 1, 4.0, 4.0, 246, 24, 15, 13
7, 1, 5.0, 5.0, 507, 47, 30, 11
8, 1, 5.0, 5.0, 40, 6, 4, 9
9, 1, 4.0, 5.0, 454, 46, 35, 6
10, 1, 5.0, 4.0, 514, 35, 26, 13
11, 1, 4.0, 4.0, 328, 51, 22, 11
12, 1, 4.0, 4.0, 400, 46, 25, 10
13, 1, 4.0, 3.0, 204, 14, 6, 32
14, 1, 3.0, 3.0, 307, 30, 25, 8
15, 1, 3.0, 3.0, 176, 26, 13, 10
16, 1, 6.0, 6.0, 535, 74, 35, 9
17, 1, 4.0, 4.0, 347, 31, 18, 16
18, 1, 4.0, 4.0, 374, 34, 15, 21
19, 1, 2.0, 2.0, 66, 10, 7, 8
20, 1, 3.0, 3.0, 158, 20, 11, 12
21, 1, 4.0, 4.0, 367, 46, 20, 14
22, 1, 2.0, 1.0, 56, 5, 2, 28
23, 1, 5.0, 5.0, 530, 61, 30, 11
24, 1, 6.0, 5.0, 573, 71, 39, 7
25, 1, 4.0, 4.0, 294, 42, 16, 15
26, 1, 5.0, 4.0, 366, 42, 22, 11
27, 1, 2.0, 2.0, 122, 14, 7, 16
28, 1, 5.0, 4.0, 362, 47, 28, 7
29, 1, 5.0, 4.0, 374, 38, 23, 12
30, 1, 4.0, 4.0, 262, 30, 15, 14
31, 1, 4.0, 6.0, 492, 42, 34, 6
32, 1, 5.0, 5.0, 502, 51, 36, 6
33, 1, 3.0, 3.0, 167, 15, 12, 10
34, 1, 4.0, 4.0, 370, 35, 26, 9
35, 1, 4.0, 5.0, 415, 45, 33, 5
36, 1, 5.0, 5.0, 548, 59, 24, 17
37, 1, 6.0, 6.0, 490, 45, 31, 9
38, 1, 4.0, 4.0, 354, 46, 17, 18
39, 1, 5.0, 5.0, 446, 40, 22, 15
